Formule,Public,Activite,Accueil,Soins_Qualite,Competence_Personnel,Disponibilite_Personnel,Reconfort,Qualite_Restauration,Hygiene,Confort_Chambre,Services_Annexes,Satisfaction,PRIX_PENSION,Sexe,CSP
Accueil temporaire,Valides,2,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,3,788,homme,Employé
Accueil temporaire,Valides,3,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4,642,homme,Agriculteur
Maison d'hôte/Studio,Valides,5,4.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,3,176,femme,Ouvrier
Accueil temporaire,Valides,1,2.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,4,951,homme,Prof.Interméd.
Maison d'hôte/Studio,Valides,5,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,7,697,femme,Prof.Interméd.
Chambre Individuelle,Valides,5,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3,896,femme,Employé
Chambre médicalisée,Dépendantes,4,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2,681,femme,Agriculteur
Accueil temporaire,Valides,5,2.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,3,158,homme,Employé
Accueil temporaire,Valides,3,1.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,4,41,homme,Prof.Interméd.
Maison d'hôte/Studio,Valides,3,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4,918,homme,Agriculteur
Chambre Individuelle,Semi-valides,5,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,4,149,homme,Cadre Supérieur
Chambre médicalisée,Dépendantes,1,3.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,4,608,homme,Cadre Moyen
Chambre médicalisée,Dépendantes,2,3.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,2,354,homme,Commerc.Artisan
Maison d'hôte/Studio,Valides,4,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,3,584,femme,Cadre Moyen
Chambre Individuelle,Semi-valides,4,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,2,667,femme,Employé
Maison d'hôte/Studio,Valides,2,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4,675,homme,"Inactif, Autre"
Chambre Individuelle,Semi-valides,3,3.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,3,491,homme,Cadre Moyen
Maison d'hôte/Studio,Valides,4,4.0,2.0,2.5,4.0,2.0,1.0,2.0,3.0,4.0,5,53,femme,Prof.Interméd.
Accueil temporaire,Valides,1,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,4,675,homme,"Inactif, Autre"
Chambre médicalisée,Dépendantes,1,3.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,5,808,femme,Cadre Moyen
Chambre médicalisée,Dépendantes,5,2.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,4,760,femme,Prof.Interméd.
Chambre médicalisée,Semi-valides,5,2.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,4,268,homme,Commerc.Artisan
Accueil temporaire,Valides,5,1.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,2,663,femme,Ouvrier
Maison d'hôte/Studio,Valides,4,3.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,2,170,femme,Commerc.Artisan
Chambre Individuelle,Semi-valides,3,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,2,743,homme,Commerc.Artisan
Chambre médicalisée,Dépendantes,5,3.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3,184,homme,"Inactif, Autre"
Chambre Individuelle,Valides,4,3.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,7,390,femme,Agriculteur
Chambre médicalisée,Dépendantes,1,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,3,118,homme,Employé
Chambre médicalisée,Semi-valides,5,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,5,249,homme,Commerc.Artisan
Chambre médicalisée,Dépendantes,1,3.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,4,131,homme,Employé
Maison d'hôte/Studio,Valides,3,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3,711,femme,Cadre Moyen
Accueil temporaire,Valides,2,1.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,4,702,homme,Cadre Supérieur
Chambre médicalisée,Semi-valides,3,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,7,235,homme,Cadre Supérieur
Chambre Individuelle,Dépendantes,3,2.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,3,233,homme,Employé
Accueil temporaire,Valides,3,2.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3,282,femme,Cadre Moyen
Chambre Individuelle,Dépendantes,2,4.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2,726,homme,Commerc.Artisan
Maison d'hôte/Studio,Valides,3,3.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,4.0,4,815,femme,Cadre Moyen
Chambre médicalisée,Dépendantes,3,3.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,3,708,homme,Employé
Maison d'hôte/Studio,Valides,4,3.0,1.0,4.0,1.0,3.0,4.0,2.0,4.0,3.0,3,828,femme,Agriculteur
Chambre médicalisée,Semi-valides,3,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3,42,homme,Agriculteur
Chambre Individuelle,Semi-valides,2,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,6,426,homme,Employé
Accueil temporaire,Valides,3,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,5,427,femme,Agriculteur
Accueil temporaire,Valides,3,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,3,980,homme,Cadre Supérieur
Accueil temporaire,Valides,1,1.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,8,715,femme,Cadre Supérieur
Accueil temporaire,Valides,2,1.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,4,122,homme,Commerc.Artisan
Accueil temporaire,Valides,3,1.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,2,274,femme,Cadre Supérieur
Maison d'hôte/Studio,Valides,2,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,3,955,femme,Cadre Moyen
Maison d'hôte/Studio,Valides,4,3.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,4,3,homme,Cadre Moyen
Chambre médicalisée,Dépendantes,3,3.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,2,870,homme,Cadre Moyen
Maison d'hôte/Studio,Valides,4,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2,184,homme,Commerc.Artisan
Maison d'hôte/Studio,Valides,5,4.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,4,288,femme,Ouvrier
Chambre Individuelle,Dépendantes,1,3.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,3,449,femme,Ouvrier
Maison d'hôte/Studio,Valides,5,4.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,5,933,homme,Employé
Accueil temporaire,Valides,4,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4,673,homme,Prof.Interméd.
Chambre médicalisée,Dépendantes,1,1.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,4,477,femme,"Inactif, Autre"
Chambre Individuelle,Valides,5,3.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,3,125,homme,Agriculteur
Maison d'hôte/Studio,Valides,5,4.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3,323,homme,Commerc.Artisan
Chambre médicalisée,Semi-valides,2,3.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,3,864,femme,Commerc.Artisan
Accueil temporaire,Valides,5,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,4,536,femme,Prof.Interméd.
Chambre Individuelle,Semi-valides,3,3.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,6,913,femme,Cadre Supérieur
